DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
tuberculosis,Salmonella,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between tuberculosis and Salmonella?,relate
tuberculosis,Rickettsia,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between tuberculosis and Rickettsia?,relate
tuberculosis,Yersinia,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between tuberculosis and Yersinia?,relate
tuberculosis,Borrelia,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between tuberculosis and Borrelia?,relate
ten,Borrelia recurrentis,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between ten and Borrelia recurrentis?,relate
ten,Mycobacterium leprae,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between ten and Mycobacterium leprae?,relate
ten,Bartonella henselae,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between ten and Bartonella henselae?,relate
ten,Bartonella quintana,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between ten and Bartonella quintana?,relate
ten,Yersinia pestis,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between ten and Yersinia pestis?,relate
ten,Staphylococcus,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between ten and Staphylococcus?,relate
ten,Mycobacterium,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between ten and Mycobacterium?,relate
ten,Bartonella,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between ten and Bartonella?,relate
ten,Salmonella,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between ten and Salmonella?,relate
ten,Rickettsia,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between ten and Rickettsia?,relate
ten,Yersinia,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between ten and Yersinia?,relate
ten,Borrelia,"A total of seven techniques was used and ten bacteria (Yersinia pestis, Bartonella quintana, Salmonella enterica serovar Typhi, Salmonella enterica serovar Paratyphi C, Mycobacterium leprae, Mycobacterium tuberculosis, Rickettsia prowazeki, Staphylococcus aureus, Borrelia recurrentis, Bartonella henselae) and one virus (Anelloviridae) were identified.",What is the relation between ten and Borrelia?,relate
Yersinia pestis,Yersinia pestis,"The combining methods interestingly increase the positive rate with ELISA, PCR and iPCR in Yersinia pestis diagnosis.",What is the relation between Yersinia pestis and Yersinia pestis?,negative
Yersinia pestis,Yersinia,"The combining methods interestingly increase the positive rate with ELISA, PCR and iPCR in Yersinia pestis diagnosis.",What is the relation between Yersinia pestis and Yersinia?,negative
meningitis,Capnocytophaga canimorsus,The reported case is a first reported case of purulent meningitis caused by by Capnocytophaga canimorsus in Czech Republic with only a limited risk factor history.,What is the relation between meningitis and Capnocytophaga canimorsus?,positive
meningitis,Capnocytophaga,The reported case is a first reported case of purulent meningitis caused by by Capnocytophaga canimorsus in Czech Republic with only a limited risk factor history.,What is the relation between meningitis and Capnocytophaga?,positive
meningitis,Capnocytophaga,CONCLUSIONS: Purulent meningitis caused by Capnocytophaga spp.,What is the relation between meningitis and Capnocytophaga?,positive
endocarditis,Streptococcus,We report a first case of Streptococcus pseudoporcinus bacteraemia causing infective endocarditis in a 40-year-old man in Vietnam.,What is the relation between endocarditis and Streptococcus?,positive
endocarditis,Streptococcus,This is the second case of Streptococcus pseudoporcinus infective endocarditis in the literature.,What is the relation between endocarditis and Streptococcus?,relate
IBS,Clostridiales,"As disruptions in central and peripheral serotonergic signaling pathways have been found in patients with IBS, we explored the hypothesis that the abundance of serotonin-modulating microbes of the order Clostridiales is associated with functional connectivity of somatosensory brain regions and gastrointestinal (GI) sensorimotor function.",What is the relation between IBS and Clostridiales?,relate
IBS,Lachnospiraceae,"The largest differences between controls and patients with IBS were observed in the Lachnospiraceae incertae sedis, Clostridium XIVa, and Coprococcus subnetworks.",What is the relation between IBS and Lachnospiraceae?,relate
IBS,incertae sedis,"The largest differences between controls and patients with IBS were observed in the Lachnospiraceae incertae sedis, Clostridium XIVa, and Coprococcus subnetworks.",What is the relation between IBS and incertae sedis?,relate
IBS,Coprococcus,"The largest differences between controls and patients with IBS were observed in the Lachnospiraceae incertae sedis, Clostridium XIVa, and Coprococcus subnetworks.",What is the relation between IBS and Coprococcus?,relate
IBS,Clostridium,"The largest differences between controls and patients with IBS were observed in the Lachnospiraceae incertae sedis, Clostridium XIVa, and Coprococcus subnetworks.",What is the relation between IBS and Clostridium?,relate
vaginal,Lactobacillus,"In recent studies, the interleukin (IL)-36 cytokines were shown to be elevated in women with non-Lactobacillus-dominated vaginal microbiomes.",What is the relation between vaginal and Lactobacillus?,positive
PD,Verrucomicrobiaceae,"The abundance of the family of Bacteroides and Prevotellaceae were significantly increased in heathy controls while the abundance of Ruminococcaceae, Verrucomicrobiaceae, Porphyromondaceae, Hydrogenoanaerobacterium and Lachnospiraceae NK4A were significantly enriched in North-eastern Han Chinese patients with PD.",What is the relation between PD and Verrucomicrobiaceae?,positive
PD,Ruminococcaceae,"The abundance of the family of Bacteroides and Prevotellaceae were significantly increased in heathy controls while the abundance of Ruminococcaceae, Verrucomicrobiaceae, Porphyromondaceae, Hydrogenoanaerobacterium and Lachnospiraceae NK4A were significantly enriched in North-eastern Han Chinese patients with PD.",What is the relation between PD and Ruminococcaceae?,positive
PD,Lachnospiraceae,"The abundance of the family of Bacteroides and Prevotellaceae were significantly increased in heathy controls while the abundance of Ruminococcaceae, Verrucomicrobiaceae, Porphyromondaceae, Hydrogenoanaerobacterium and Lachnospiraceae NK4A were significantly enriched in North-eastern Han Chinese patients with PD.",What is the relation between PD and Lachnospiraceae?,positive
PD,Prevotellaceae,"The abundance of the family of Bacteroides and Prevotellaceae were significantly increased in heathy controls while the abundance of Ruminococcaceae, Verrucomicrobiaceae, Porphyromondaceae, Hydrogenoanaerobacterium and Lachnospiraceae NK4A were significantly enriched in North-eastern Han Chinese patients with PD.",What is the relation between PD and Prevotellaceae?,positive
PD,Bacteroides,"The abundance of the family of Bacteroides and Prevotellaceae were significantly increased in heathy controls while the abundance of Ruminococcaceae, Verrucomicrobiaceae, Porphyromondaceae, Hydrogenoanaerobacterium and Lachnospiraceae NK4A were significantly enriched in North-eastern Han Chinese patients with PD.",What is the relation between PD and Bacteroides?,positive
Fh,Shewanella putrefaciens,"During a 25-d anaerobic incubation with Shewanella putrefaciens CN32, the reduction of Fe followed the order of Fh-BQ鈥?鈥疐h-GL鈥?鈥疐h-GN鈥?鈥疐h-TN鈥?鈥疐h-AL鈥?鈥疐h-AM.",What is the relation between Fh and Shewanella putrefaciens?,negative
Fh,Shewanella,"During a 25-d anaerobic incubation with Shewanella putrefaciens CN32, the reduction of Fe followed the order of Fh-BQ鈥?鈥疐h-GL鈥?鈥疐h-GN鈥?鈥疐h-TN鈥?鈥疐h-AL鈥?鈥疐h-AM.",What is the relation between Fh and Shewanella?,negative
Cd,Actinobacteria,"The following changing tendencies were believed to be responsible for immobilizing soil Cd and alleviating its toxicity to tobacco leaves: the re-distribution of Cd from the fraction of smaller soil aggregates to the fraction of larger soil aggregates; and the shift of major soil microbes by increasing the abundance of beneficial taxa such as those from the phyla Actinobacteria, Proteobacteria or Chloroflexi.",What is the relation between Cd and Actinobacteria?,positive
Cd,Proteobacteria,"The following changing tendencies were believed to be responsible for immobilizing soil Cd and alleviating its toxicity to tobacco leaves: the re-distribution of Cd from the fraction of smaller soil aggregates to the fraction of larger soil aggregates; and the shift of major soil microbes by increasing the abundance of beneficial taxa such as those from the phyla Actinobacteria, Proteobacteria or Chloroflexi.",What is the relation between Cd and Proteobacteria?,positive
Cd,Chloroflexi,"The following changing tendencies were believed to be responsible for immobilizing soil Cd and alleviating its toxicity to tobacco leaves: the re-distribution of Cd from the fraction of smaller soil aggregates to the fraction of larger soil aggregates; and the shift of major soil microbes by increasing the abundance of beneficial taxa such as those from the phyla Actinobacteria, Proteobacteria or Chloroflexi.",What is the relation between Cd and Chloroflexi?,positive
obese,Bacteroidetes,"Our results suggested that drinking water containing ripened Pu-erh tea extract could decrease weight gain, fat accumulation, adipose inflammation, the Firmicutes-to-Bacteroidetes ratio, and metabolic endotoxemia while, in the meantime, improving the intestinal barrier integrity in obese mice.",What is the relation between obese and Bacteroidetes?,negative
obese,Firmicutes,"Our results suggested that drinking water containing ripened Pu-erh tea extract could decrease weight gain, fat accumulation, adipose inflammation, the Firmicutes-to-Bacteroidetes ratio, and metabolic endotoxemia while, in the meantime, improving the intestinal barrier integrity in obese mice.",What is the relation between obese and Firmicutes?,negative
MG,Euryarchaeota,"Using a dense sampling strategy, we investigated horizontal variability in total archaeal, Thaumarchaeota Marine Group (MG) I, and Euryarchaeota MGII communities and associations of MGI/MGII with other microbes in surface waters with contrasting environmental characteristics across ~200聽km by 16S rRNA gene amplicon sequencing.",What is the relation between MG and Euryarchaeota?,relate
influenza,Pseudomonas aeruginosa,"In vitro assays demonstrated that BiSCaO Water eliminated more than 99.9% of influenza A (H1N1) and Feline calicivirus, Escherichia coli such as NBRC 3972 and O-157:H7, Pseudomonas aeruginosa, Salmonella, and Staphylococcus aureus within 15 min.",What is the relation between influenza and Pseudomonas aeruginosa?,negative
influenza,Escherichia coli,"In vitro assays demonstrated that BiSCaO Water eliminated more than 99.9% of influenza A (H1N1) and Feline calicivirus, Escherichia coli such as NBRC 3972 and O-157:H7, Pseudomonas aeruginosa, Salmonella, and Staphylococcus aureus within 15 min.",What is the relation between influenza and Escherichia coli?,negative
influenza,Staphylococcus,"In vitro assays demonstrated that BiSCaO Water eliminated more than 99.9% of influenza A (H1N1) and Feline calicivirus, Escherichia coli such as NBRC 3972 and O-157:H7, Pseudomonas aeruginosa, Salmonella, and Staphylococcus aureus within 15 min.",What is the relation between influenza and Staphylococcus?,negative
influenza,Escherichia,"In vitro assays demonstrated that BiSCaO Water eliminated more than 99.9% of influenza A (H1N1) and Feline calicivirus, Escherichia coli such as NBRC 3972 and O-157:H7, Pseudomonas aeruginosa, Salmonella, and Staphylococcus aureus within 15 min.",What is the relation between influenza and Escherichia?,negative
influenza,Pseudomonas,"In vitro assays demonstrated that BiSCaO Water eliminated more than 99.9% of influenza A (H1N1) and Feline calicivirus, Escherichia coli such as NBRC 3972 and O-157:H7, Pseudomonas aeruginosa, Salmonella, and Staphylococcus aureus within 15 min.",What is the relation between influenza and Pseudomonas?,negative
influenza,Salmonella,"In vitro assays demonstrated that BiSCaO Water eliminated more than 99.9% of influenza A (H1N1) and Feline calicivirus, Escherichia coli such as NBRC 3972 and O-157:H7, Pseudomonas aeruginosa, Salmonella, and Staphylococcus aureus within 15 min.",What is the relation between influenza and Salmonella?,negative
pneumonia,Streptococcus pneumoniae,"This study examines proteome-wide changes in Streptococcus pneumoniae D39, the leading cause of bacterial pneumonia, in response to physiological concentrations of LL-37 by high-resolution mass spectrometry.",What is the relation between pneumonia and Streptococcus pneumoniae?,positive
pneumonia,Streptococcus,"This study examines proteome-wide changes in Streptococcus pneumoniae D39, the leading cause of bacterial pneumonia, in response to physiological concentrations of LL-37 by high-resolution mass spectrometry.",What is the relation between pneumonia and Streptococcus?,positive
piles,Actinobacteria,The phyla Actinobacteria and Proteobacteria were more abundant in CMB treatment while Firmicutes was abundant in CM piles.,What is the relation between piles and Actinobacteria?,positive
piles,Proteobacteria,The phyla Actinobacteria and Proteobacteria were more abundant in CMB treatment while Firmicutes was abundant in CM piles.,What is the relation between piles and Proteobacteria?,positive
piles,Firmicutes,The phyla Actinobacteria and Proteobacteria were more abundant in CMB treatment while Firmicutes was abundant in CM piles.,What is the relation between piles and Firmicutes?,positive
MS,Streptococcus agalactiae,"Here we describe Streptococcus agalactiae DPC7040, a human faecal isolate, which exhibits antimicrobial activity against a panel of gut and food isolates by virtue of producing nisin P. Nisin P was purified, and its predicted structure was confirmed by nanoLC-MS/MS, with both the fully modified peptide and a variant without rings B and E being identified.",What is the relation between MS and Streptococcus agalactiae?,negative
MS,Streptococcus,"Here we describe Streptococcus agalactiae DPC7040, a human faecal isolate, which exhibits antimicrobial activity against a panel of gut and food isolates by virtue of producing nisin P. Nisin P was purified, and its predicted structure was confirmed by nanoLC-MS/MS, with both the fully modified peptide and a variant without rings B and E being identified.",What is the relation between MS and Streptococcus?,negative
oral Candidiasis,Candida albicans,"CONCLUSIONS: Candida albicans biofilm induced by 5% glucose has four protein band candidates, 5% lactose has seven candidates of protein band, and soy protein and 5% iron each has a candidate of protein band, which can be used as a target for the detection of oral Candidiasis.",What is the relation between oral Candidiasis and Candida albicans?,negative
oral candidiasis,Candida albicans,"Key words:Biofilm protein, Candida albicans, molecular weight, oral candidiasis.",What is the relation between oral candidiasis and Candida albicans?,relate
burns,Pseudomonas aeruginosa,METHODS: The effect of gall extracts on the quorum sensing (QS) associated virulence of multiple drug resistant Pseudomonas aeruginosa recovered from burns wounds was studied.,What is the relation between burns and Pseudomonas aeruginosa?,positive
burns,Pseudomonas,METHODS: The effect of gall extracts on the quorum sensing (QS) associated virulence of multiple drug resistant Pseudomonas aeruginosa recovered from burns wounds was studied.,What is the relation between burns and Pseudomonas?,positive
AFM,Bacillus,Strain Bacillus aryabhattai 5-3 showed 3.85鈥扁€?.50% gravimetric weight loss after a 30 days incubation with PE-based mulch as the sole carbon source; Considerable pits and vast cavities were found on the surface using AFM and SEM.,What is the relation between AFM and Bacillus?,negative
Kp,Escherichia coli,This microtubule dismantling is dependent on the K.聽pneumoniae (Kp) gene ytfL as non-pathogenic Escherichia coli expressing Kp ytfL disassemble microtubules in the absence of K.聽pneumoniae itself.,What is the relation between Kp and Escherichia coli?,positive
Kp,Escherichia,This microtubule dismantling is dependent on the K.聽pneumoniae (Kp) gene ytfL as non-pathogenic Escherichia coli expressing Kp ytfL disassemble microtubules in the absence of K.聽pneumoniae itself.,What is the relation between Kp and Escherichia?,positive
mg,Rhodococcus,This strain could efficiently degrade DEHP at a wide concentration range from 50 to 1600 mg/L and transformed DEHP through a unique biochemical degradation pathway that distinguished it from other Rhodococcus species.,What is the relation between mg and Rhodococcus?,negative
chronic obstructive pulmonary disease,Nocardiopsis,We report the first case of fatal pulmonary infection related to Nocardiopsis dassonvillei in an immunocompetent patient with chronic obstructive pulmonary disease.,What is the relation between chronic obstructive pulmonary disease and Nocardiopsis?,positive
endocarditis,Streptococcus pneumoniae,"The mitis group streptococci include the major human pathogen Streptococcus pneumoniae and the opportunistic pathogens Streptococcus mitis and Streptococcus oralis, which are human oral cavity colonizers and agents of bacteremia and infective endocarditis in immunocompromised patients.",What is the relation between endocarditis and Streptococcus pneumoniae?,relate
endocarditis,Streptococcus oralis,"The mitis group streptococci include the major human pathogen Streptococcus pneumoniae and the opportunistic pathogens Streptococcus mitis and Streptococcus oralis, which are human oral cavity colonizers and agents of bacteremia and infective endocarditis in immunocompromised patients.",What is the relation between endocarditis and Streptococcus oralis?,relate
endocarditis,Streptococcus mitis,"The mitis group streptococci include the major human pathogen Streptococcus pneumoniae and the opportunistic pathogens Streptococcus mitis and Streptococcus oralis, which are human oral cavity colonizers and agents of bacteremia and infective endocarditis in immunocompromised patients.",What is the relation between endocarditis and Streptococcus mitis?,relate
endocarditis,Streptococcus,"The mitis group streptococci include the major human pathogen Streptococcus pneumoniae and the opportunistic pathogens Streptococcus mitis and Streptococcus oralis, which are human oral cavity colonizers and agents of bacteremia and infective endocarditis in immunocompromised patients.",What is the relation between endocarditis and Streptococcus?,relate
inflammatory bowel disease,Ruminococcus gnavus,"Multiple studies associate Ruminococcus gnavus, a prevalent gut microbe, with Crohn's disease, a major type of inflammatory bowel disease.",What is the relation between inflammatory bowel disease and Ruminococcus gnavus?,relate
inflammatory bowel disease,Ruminococcus,"Multiple studies associate Ruminococcus gnavus, a prevalent gut microbe, with Crohn's disease, a major type of inflammatory bowel disease.",What is the relation between inflammatory bowel disease and Ruminococcus?,relate
urinary tract infection,Enterococcus faecalis,Here we report the first linezolid-resistant optrA-positive Enterococcus faecalis sequence type (ST) 16 isolated from a patient with a urinary tract infection (UTI).,What is the relation between urinary tract infection and Enterococcus faecalis?,relate
urinary tract infection,Enterococcus,Here we report the first linezolid-resistant optrA-positive Enterococcus faecalis sequence type (ST) 16 isolated from a patient with a urinary tract infection (UTI).,What is the relation between urinary tract infection and Enterococcus?,relate
UTI,Enterococcus faecalis,Here we report the first linezolid-resistant optrA-positive Enterococcus faecalis sequence type (ST) 16 isolated from a patient with a urinary tract infection (UTI).,What is the relation between UTI and Enterococcus faecalis?,relate
UTI,Enterococcus,Here we report the first linezolid-resistant optrA-positive Enterococcus faecalis sequence type (ST) 16 isolated from a patient with a urinary tract infection (UTI).,What is the relation between UTI and Enterococcus?,relate
ten,Listeria monocytogenes,"The antimicrobial activity was studied by disc diffusion and broth microdilution methods against ten microbial species, including Gram-positive bacteria (Staphylococcus aureus, Bacillus subtilis and Listeria monocytogenes), Gram-negative bacteria (Escherichia coli and Salmonella enterica), and fungi (Aspergillus flavus, Aspergillus paraciticus, Aspergillus ochraceous, Aspergillus niger and Penicillium verrucosum).",What is the relation between ten and Listeria monocytogenes?,relate
ten,Escherichia coli,"The antimicrobial activity was studied by disc diffusion and broth microdilution methods against ten microbial species, including Gram-positive bacteria (Staphylococcus aureus, Bacillus subtilis and Listeria monocytogenes), Gram-negative bacteria (Escherichia coli and Salmonella enterica), and fungi (Aspergillus flavus, Aspergillus paraciticus, Aspergillus ochraceous, Aspergillus niger and Penicillium verrucosum).",What is the relation between ten and Escherichia coli?,relate
ten,Staphylococcus,"The antimicrobial activity was studied by disc diffusion and broth microdilution methods against ten microbial species, including Gram-positive bacteria (Staphylococcus aureus, Bacillus subtilis and Listeria monocytogenes), Gram-negative bacteria (Escherichia coli and Salmonella enterica), and fungi (Aspergillus flavus, Aspergillus paraciticus, Aspergillus ochraceous, Aspergillus niger and Penicillium verrucosum).",What is the relation between ten and Staphylococcus?,relate
ten,Escherichia,"The antimicrobial activity was studied by disc diffusion and broth microdilution methods against ten microbial species, including Gram-positive bacteria (Staphylococcus aureus, Bacillus subtilis and Listeria monocytogenes), Gram-negative bacteria (Escherichia coli and Salmonella enterica), and fungi (Aspergillus flavus, Aspergillus paraciticus, Aspergillus ochraceous, Aspergillus niger and Penicillium verrucosum).",What is the relation between ten and Escherichia?,relate
ten,Salmonella,"The antimicrobial activity was studied by disc diffusion and broth microdilution methods against ten microbial species, including Gram-positive bacteria (Staphylococcus aureus, Bacillus subtilis and Listeria monocytogenes), Gram-negative bacteria (Escherichia coli and Salmonella enterica), and fungi (Aspergillus flavus, Aspergillus paraciticus, Aspergillus ochraceous, Aspergillus niger and Penicillium verrucosum).",What is the relation between ten and Salmonella?,relate
ten,Bacillus,"The antimicrobial activity was studied by disc diffusion and broth microdilution methods against ten microbial species, including Gram-positive bacteria (Staphylococcus aureus, Bacillus subtilis and Listeria monocytogenes), Gram-negative bacteria (Escherichia coli and Salmonella enterica), and fungi (Aspergillus flavus, Aspergillus paraciticus, Aspergillus ochraceous, Aspergillus niger and Penicillium verrucosum).",What is the relation between ten and Bacillus?,relate
ten,Listeria,"The antimicrobial activity was studied by disc diffusion and broth microdilution methods against ten microbial species, including Gram-positive bacteria (Staphylococcus aureus, Bacillus subtilis and Listeria monocytogenes), Gram-negative bacteria (Escherichia coli and Salmonella enterica), and fungi (Aspergillus flavus, Aspergillus paraciticus, Aspergillus ochraceous, Aspergillus niger and Penicillium verrucosum).",What is the relation between ten and Listeria?,relate
infectious diseases,Pseudomonas aeruginosa,"While approximately 1400 human pathogens have been recognized, the majority of healthcare-associated infectious diseases are caused by only a few opportunistic pathogens (e.g., Pseudomonas aeruginosa, Staphylococcus aureus, Escherichia coli), which are associated with increased antibiotic and antimicrobial resistance.",What is the relation between infectious diseases and Pseudomonas aeruginosa?,relate
infectious diseases,Escherichia coli,"While approximately 1400 human pathogens have been recognized, the majority of healthcare-associated infectious diseases are caused by only a few opportunistic pathogens (e.g., Pseudomonas aeruginosa, Staphylococcus aureus, Escherichia coli), which are associated with increased antibiotic and antimicrobial resistance.",What is the relation between infectious diseases and Escherichia coli?,relate
infectious diseases,Staphylococcus,"While approximately 1400 human pathogens have been recognized, the majority of healthcare-associated infectious diseases are caused by only a few opportunistic pathogens (e.g., Pseudomonas aeruginosa, Staphylococcus aureus, Escherichia coli), which are associated with increased antibiotic and antimicrobial resistance.",What is the relation between infectious diseases and Staphylococcus?,relate
infectious diseases,Escherichia,"While approximately 1400 human pathogens have been recognized, the majority of healthcare-associated infectious diseases are caused by only a few opportunistic pathogens (e.g., Pseudomonas aeruginosa, Staphylococcus aureus, Escherichia coli), which are associated with increased antibiotic and antimicrobial resistance.",What is the relation between infectious diseases and Escherichia?,relate
infectious diseases,Pseudomonas,"While approximately 1400 human pathogens have been recognized, the majority of healthcare-associated infectious diseases are caused by only a few opportunistic pathogens (e.g., Pseudomonas aeruginosa, Staphylococcus aureus, Escherichia coli), which are associated with increased antibiotic and antimicrobial resistance.",What is the relation between infectious diseases and Pseudomonas?,relate
tuberculosis,Mycobacterium,"Coevolving with its human host, Mycobacterium tuberculosis (Mtb) has developed mechanisms to resist host-imposed nitrosative and oxidative stresses.",What is the relation between tuberculosis and Mycobacterium?,negative
diphtheria,Corynebacterium diphtheriae,"These milestone studies of toxigenic Corynebacterium diphtheriae along with its primary virulence determinant, diphtheria toxin, have established the paradigm for the study of other related bacterial protein toxins.",What is the relation between diphtheria and Corynebacterium diphtheriae?,relate
diphtheria,Corynebacterium,"These milestone studies of toxigenic Corynebacterium diphtheriae along with its primary virulence determinant, diphtheria toxin, have established the paradigm for the study of other related bacterial protein toxins.",What is the relation between diphtheria and Corynebacterium?,relate
type 1 diabetes,Bacillus coagulans,"We here explored the effects of Bacillus coagulans GBI-30, 6086 (BC30), 尾-glucans, and innovative whole-grain pastas, with or without these functional ingredients, on gut microbiota from three groups of children, presenting different susceptibility to type 1 diabetes, by using the well-controlled TNO in vitro model of the proximal colon (TIM-2).",What is the relation between type 1 diabetes and Bacillus coagulans?,negative
type 1 diabetes,Bacillus,"We here explored the effects of Bacillus coagulans GBI-30, 6086 (BC30), 尾-glucans, and innovative whole-grain pastas, with or without these functional ingredients, on gut microbiota from three groups of children, presenting different susceptibility to type 1 diabetes, by using the well-controlled TNO in vitro model of the proximal colon (TIM-2).",What is the relation between type 1 diabetes and Bacillus?,negative
diabetes,Bacillus coagulans,"We here explored the effects of Bacillus coagulans GBI-30, 6086 (BC30), 尾-glucans, and innovative whole-grain pastas, with or without these functional ingredients, on gut microbiota from three groups of children, presenting different susceptibility to type 1 diabetes, by using the well-controlled TNO in vitro model of the proximal colon (TIM-2).",What is the relation between diabetes and Bacillus coagulans?,negative
diabetes,Bacillus,"We here explored the effects of Bacillus coagulans GBI-30, 6086 (BC30), 尾-glucans, and innovative whole-grain pastas, with or without these functional ingredients, on gut microbiota from three groups of children, presenting different susceptibility to type 1 diabetes, by using the well-controlled TNO in vitro model of the proximal colon (TIM-2).",What is the relation between diabetes and Bacillus?,negative
colorectal cancer,Salmonella,"Uncontrolled oxidative stress, reported in Salmonella and HIV infections, colorectal cancer or severe acute malnutrition, has been associated with anaerobic gut microbiome alteration, impaired butyrate production, mucosal immunity dysregulation and disruption of host-bacterial mutualism.",What is the relation between colorectal cancer and Salmonella?,positive
cancer,Salmonella,"Uncontrolled oxidative stress, reported in Salmonella and HIV infections, colorectal cancer or severe acute malnutrition, has been associated with anaerobic gut microbiome alteration, impaired butyrate production, mucosal immunity dysregulation and disruption of host-bacterial mutualism.",What is the relation between cancer and Salmonella?,positive
