DIETARY,MICROBE,EVIDENCE,QUESTIONS,RELATION
benzoic acid (BA) ,Megasphaera,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate displayed a negative correlation with the relative abundance of Colidextribacter (P < 0.05).",What is the relationship between benzoic acid (BA)  and Megasphaera?,negative
benzoic acid (BA) ,Prevotella_9,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate displayed a negative correlation with the relative abundance of Colidextribacter (P < 0.05).",What is the relationship between benzoic acid (BA)  and Prevotella_9?,negative
benzoic acid (BA) ,Streptococcu,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate displayed a negative correlation with the relative abundance of Colidextribacter (P < 0.05).",What is the relationship between benzoic acid (BA)  and Streptococcu?,negative
benzoic acid (BA) ,Bifidobacterium ,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate displayed a negative correlation with the relative abundance of Colidextribacter (P < 0.05).",What is the relationship between benzoic acid (BA)  and Bifidobacterium ?,negative
benzoic acid (BA) ,Ligilactobacillus,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate displayed a negative correlation with the relative abundance of Colidextribacter (P < 0.05).",What is the relationship between benzoic acid (BA)  and Ligilactobacillus?,negative
benzoic acid (BA) ,Staphylococcus ,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate displayed a negative correlation with the relative abundance of Colidextribacter (P < 0.05).",What is the relationship between benzoic acid (BA)  and Staphylococcus ?,negative
benzoic acid (BA) ,Colidextribacter ,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate displayed a negative correlation with the relative abundance of Colidextribacter (P < 0.05).",What is the relationship between benzoic acid (BA)  and Colidextribacter ?,negative
high-fat diet (HFD),Muribaculaceae,"Based on the results of the species taxonomic analysis, we profiled the specific changes in the gut microbiota at the phylum and genus levels. At the phylum level, the main phyla including Firmicutes, Actinobacteria, Bacteroidota, Verrucomicrobiota and Desulfobacterota were observed (Fig. 5D). In addition, HFD mice significantly increases Firmicutes to Bacteroidetes (F/B) ratio compared to CON mice (P < 0.05, Fig. 5E). FA + BG group showed a significant decrease in the F/B ratio compared to HFD group (P < 0.05).",What is the relationship between high-fat diet (HFD) and Muribaculaceae?,negative
high-fat diet (HFD),Bifidobacterium ,"Based on the results of the species taxonomic analysis, we profiled the specific changes in the gut microbiota at the phylum and genus levels. At the phylum level, the main phyla including Firmicutes, Actinobacteria, Bacteroidota, Verrucomicrobiota and Desulfobacterota were observed (Fig. 5D). In addition, HFD mice significantly increases Firmicutes to Bacteroidetes (F/B) ratio compared to CON mice (P < 0.05, Fig. 5E). FA + BG group showed a significant decrease in the F/B ratio compared to HFD group (P < 0.05).",What is the relationship between high-fat diet (HFD) and Bifidobacterium ?,negative
high-fat diet (HFD),Akkermansia,"Based on the results of the species taxonomic analysis, we profiled the specific changes in the gut microbiota at the phylum and genus levels. At the phylum level, the main phyla including Firmicutes, Actinobacteria, Bacteroidota, Verrucomicrobiota and Desulfobacterota were observed (Fig. 5D). In addition, HFD mice significantly increases Firmicutes to Bacteroidetes (F/B) ratio compared to CON mice (P < 0.05, Fig. 5E). FA + BG group showed a significant decrease in the F/B ratio compared to HFD group (P < 0.05).",What is the relationship between high-fat diet (HFD) and Akkermansia?,negative
high-fat diet (HFD),Romboutsia,"Based on the results of the species taxonomic analysis, we profiled the specific changes in the gut microbiota at the phylum and genus levels. At the phylum level, the main phyla including Firmicutes, Actinobacteria, Bacteroidota, Verrucomicrobiota and Desulfobacterota were observed (Fig. 5D). In addition, HFD mice significantly increases Firmicutes to Bacteroidetes (F/B) ratio compared to CON mice (P < 0.05, Fig. 5E). FA + BG group showed a significant decrease in the F/B ratio compared to HFD group (P < 0.05).",What is the relationship between high-fat diet (HFD) and Romboutsia?,negative
high-fat diet (HFD),Clostridium,"Based on the results of the species taxonomic analysis, we profiled the specific changes in the gut microbiota at the phylum and genus levels. At the phylum level, the main phyla including Firmicutes, Actinobacteria, Bacteroidota, Verrucomicrobiota and Desulfobacterota were observed (Fig. 5D). In addition, HFD mice significantly increases Firmicutes to Bacteroidetes (F/B) ratio compared to CON mice (P < 0.05, Fig. 5E). FA + BG group showed a significant decrease in the F/B ratio compared to HFD group (P < 0.05).",What is the relationship between high-fat diet (HFD) and Clostridium?,negative
high-fat diet (HFD),Erysipelatoclostridium ,"Based on the results of the species taxonomic analysis, we profiled the specific changes in the gut microbiota at the phylum and genus levels. At the phylum level, the main phyla including Firmicutes, Actinobacteria, Bacteroidota, Verrucomicrobiota and Desulfobacterota were observed (Fig. 5D). In addition, HFD mice significantly increases Firmicutes to Bacteroidetes (F/B) ratio compared to CON mice (P < 0.05, Fig. 5E). FA + BG group showed a significant decrease in the F/B ratio compared to HFD group (P < 0.05).",What is the relationship between high-fat diet (HFD) and Erysipelatoclostridium ?,negative
high-fat diet (HFD),Blautia ,"Based on the results of the species taxonomic analysis, we profiled the specific changes in the gut microbiota at the phylum and genus levels. At the phylum level, the main phyla including Firmicutes, Actinobacteria, Bacteroidota, Verrucomicrobiota and Desulfobacterota were observed (Fig. 5D). In addition, HFD mice significantly increases Firmicutes to Bacteroidetes (F/B) ratio compared to CON mice (P < 0.05, Fig. 5E). FA + BG group showed a significant decrease in the F/B ratio compared to HFD group (P < 0.05).",What is the relationship between high-fat diet (HFD) and Blautia ?,negative
high-fat diet (HFD),Lactobacillus,"Clostridium_sensu_stricto_1 and Erysipelatoclostridium compared with CON group, suggested that HFD caused disorders of intestinal microflora in mice (Fig. 6A). FA + AX increased the abundance of Bifidobacterium and Faecalibaculum, and FA + BG increased the abundance of norank_f_Muribaculaceae, Lachnospiraceae_NK4A136_group, Akkermansia, and Lachnoclostridium. Furthermore, FA + AX and FA + BG decreased the abundance ",What is the relationship between high-fat diet (HFD) and Lactobacillus?,positive
high-fat diet (HFD),Bifidobacterium ,"Clostridium_sensu_stricto_1 and Erysipelatoclostridium compared with CON group, suggested that HFD caused disorders of intestinal microflora in mice (Fig. 6A). FA + AX increased the abundance of Bifidobacterium and Faecalibaculum, and FA + BG increased the abundance of norank_f_Muribaculaceae, Lachnospiraceae_NK4A136_group, Akkermansia, and Lachnoclostridium. Furthermore, FA + AX and FA + BG decreased the abundance ",What is the relationship between high-fat diet (HFD) and Bifidobacterium ?,positive
high-fat diet (HFD),Faecalibaculum,"Clostridium_sensu_stricto_1 and Erysipelatoclostridium compared with CON group, suggested that HFD caused disorders of intestinal microflora in mice (Fig. 6A). FA + AX increased the abundance of Bifidobacterium and Faecalibaculum, and FA + BG increased the abundance of norank_f_Muribaculaceae, Lachnospiraceae_NK4A136_group, Akkermansia, and Lachnoclostridium. Furthermore, FA + AX and FA + BG decreased the abundance ",What is the relationship between high-fat diet (HFD) and Faecalibaculum?,positive
high-fat diet (HFD),Muribaculaceae,"Clostridium_sensu_stricto_1 and Erysipelatoclostridium compared with CON group, suggested that HFD caused disorders of intestinal microflora in mice (Fig. 6A). FA + AX increased the abundance of Bifidobacterium and Faecalibaculum, and FA + BG increased the abundance of norank_f_Muribaculaceae, Lachnospiraceae_NK4A136_group, Akkermansia, and Lachnoclostridium. Furthermore, FA + AX and FA + BG decreased the abundance ",What is the relationship between high-fat diet (HFD) and Muribaculaceae?,positive
high-fat diet (HFD),Lachnospiraceae,"Clostridium_sensu_stricto_1 and Erysipelatoclostridium compared with CON group, suggested that HFD caused disorders of intestinal microflora in mice (Fig. 6A). FA + AX increased the abundance of Bifidobacterium and Faecalibaculum, and FA + BG increased the abundance of norank_f_Muribaculaceae, Lachnospiraceae_NK4A136_group, Akkermansia, and Lachnoclostridium. Furthermore, FA + AX and FA + BG decreased the abundance ",What is the relationship between high-fat diet (HFD) and Lachnospiraceae?,positive
high-fat diet (HFD),Akkermansia,"Clostridium_sensu_stricto_1 and Erysipelatoclostridium compared with CON group, suggested that HFD caused disorders of intestinal microflora in mice (Fig. 6A). FA + AX increased the abundance of Bifidobacterium and Faecalibaculum, and FA + BG increased the abundance of norank_f_Muribaculaceae, Lachnospiraceae_NK4A136_group, Akkermansia, and Lachnoclostridium. Furthermore, FA + AX and FA + BG decreased the abundance ",What is the relationship between high-fat diet (HFD) and Akkermansia?,positive
high-fat diet (HFD),Lachnoclostridium,"Clostridium_sensu_stricto_1 and Erysipelatoclostridium compared with CON group, suggested that HFD caused disorders of intestinal microflora in mice (Fig. 6A). FA + AX increased the abundance of Bifidobacterium and Faecalibaculum, and FA + BG increased the abundance of norank_f_Muribaculaceae, Lachnospiraceae_NK4A136_group, Akkermansia, and Lachnoclostridium. Furthermore, FA + AX and FA + BG decreased the abundance ",What is the relationship between high-fat diet (HFD) and Lachnoclostridium?,positive
Human milk miRNAs,Firmicutes(Bacillota),"Next, we examined the correlation of the identified miRNA features contributed to clustering to the milk microbiota, maternal food groups and dietary nutrients, which are represented as side quadrants on the circos plots and correlation cutoff >0.7 (Fig. 4). The circos plot shows correlations between 11 identified miRNAs and 6 milk microbial genera. At the phylum level, 11 identified miRNAs were correlated to Firmicutes, Bacteroidetes, Actinobacteria and Proteobacteria (data not shown). For instance, miR-3162-5P, -4271, -4734, -658, -6738-5P, -6824-5p, and -6875-5p, which were abundant in the animal protein group (except miR-3162-5P, 6738-5P, and -6824-5p) were positively correlated to the milk microbial genera Brevibacillus, and Acinetobacter (Proteobacteria phyla), ",What is the relationship between Human milk miRNAs and Firmicutes(Bacillota)?,negative
Human milk miRNAs,Bacteroidetes(Bacteroidia),"Next, we examined the correlation of the identified miRNA features contributed to clustering to the milk microbiota, maternal food groups and dietary nutrients, which are represented as side quadrants on the circos plots and correlation cutoff >0.7 (Fig. 4). The circos plot shows correlations between 11 identified miRNAs and 6 milk microbial genera. At the phylum level, 11 identified miRNAs were correlated to Firmicutes, Bacteroidetes, Actinobacteria and Proteobacteria (data not shown). For instance, miR-3162-5P, -4271, -4734, -658, -6738-5P, -6824-5p, and -6875-5p, which were abundant in the animal protein group (except miR-3162-5P, 6738-5P, and -6824-5p) were positively correlated to the milk microbial genera Brevibacillus, and Acinetobacter (Proteobacteria phyla), ",What is the relationship between Human milk miRNAs and Bacteroidetes(Bacteroidia)?,negative
Human milk miRNAs,Actinobacteria(Actinomycetota),"Next, we examined the correlation of the identified miRNA features contributed to clustering to the milk microbiota, maternal food groups and dietary nutrients, which are represented as side quadrants on the circos plots and correlation cutoff >0.7 (Fig. 4). The circos plot shows correlations between 11 identified miRNAs and 6 milk microbial genera. At the phylum level, 11 identified miRNAs were correlated to Firmicutes, Bacteroidetes, Actinobacteria and Proteobacteria (data not shown). For instance, miR-3162-5P, -4271, -4734, -658, -6738-5P, -6824-5p, and -6875-5p, which were abundant in the animal protein group (except miR-3162-5P, 6738-5P, and -6824-5p) were positively correlated to the milk microbial genera Brevibacillus, and Acinetobacter (Proteobacteria phyla), ",What is the relationship between Human milk miRNAs and Actinobacteria(Actinomycetota)?,negative
Human milk miRNAs,Proteobacteria(Pseudomonadota),"Next, we examined the correlation of the identified miRNA features contributed to clustering to the milk microbiota, maternal food groups and dietary nutrients, which are represented as side quadrants on the circos plots and correlation cutoff >0.7 (Fig. 4). The circos plot shows correlations between 11 identified miRNAs and 6 milk microbial genera. At the phylum level, 11 identified miRNAs were correlated to Firmicutes, Bacteroidetes, Actinobacteria and Proteobacteria (data not shown). For instance, miR-3162-5P, -4271, -4734, -658, -6738-5P, -6824-5p, and -6875-5p, which were abundant in the animal protein group (except miR-3162-5P, 6738-5P, and -6824-5p) were positively correlated to the milk microbial genera Brevibacillus, and Acinetobacter (Proteobacteria phyla), ",What is the relationship between Human milk miRNAs and Proteobacteria(Pseudomonadota)?,negative
Human milk miRNAs,Acinetobacter ,"Next, we examined the correlation of the identified miRNA features contributed to clustering to the milk microbiota, maternal food groups and dietary nutrients, which are represented as side quadrants on the circos plots and correlation cutoff >0.7 (Fig. 4). The circos plot shows correlations between 11 identified miRNAs and 6 milk microbial genera. At the phylum level, 11 identified miRNAs were correlated to Firmicutes, Bacteroidetes, Actinobacteria and Proteobacteria (data not shown). For instance, miR-3162-5P, -4271, -4734, -658, -6738-5P, -6824-5p, and -6875-5p, which were abundant in the animal protein group (except miR-3162-5P, 6738-5P, and -6824-5p) were positively correlated to the milk microbial genera Brevibacillus, and Acinetobacter (Proteobacteria phyla), ",What is the relationship between Human milk miRNAs and Acinetobacter ?,negative
Human milk miRNAs,Rothia,"For instance, miR-3162-5P, -4271, -4734, -658, -6738-5P, -6824-5p, and -6875-5p, which were abundant in the animal protein group (except miR-3162-5P, 6738-5P, and -6824-5p) were positively correlated to the milk microbial genera Brevibacillus, and Acinetobacter (Proteobacteria phyla), whereas miR-4304 (abundant in the plant-related group) was negatively correlated. On another hand, miR-4419a, -4535, and -6894-5p were positively correlated to the Bacteroides, Rothia, Phascolarctobacterium, Anaerostipes and Phocaeicola genera.",What is the relationship between Human milk miRNAs and Rothia?,positive
Human milk miRNAs,Phascolarctobacterium,"For instance, miR-3162-5P, -4271, -4734, -658, -6738-5P, -6824-5p, and -6875-5p, which were abundant in the animal protein group (except miR-3162-5P, 6738-5P, and -6824-5p) were positively correlated to the milk microbial genera Brevibacillus, and Acinetobacter (Proteobacteria phyla), whereas miR-4304 (abundant in the plant-related group) was negatively correlated. On another hand, miR-4419a, -4535, and -6894-5p were positively correlated to the Bacteroides, Rothia, Phascolarctobacterium, Anaerostipes and Phocaeicola genera.",What is the relationship between Human milk miRNAs and Phascolarctobacterium?,positive
Human milk miRNAs,Anaerostipes ,"For instance, miR-3162-5P, -4271, -4734, -658, -6738-5P, -6824-5p, and -6875-5p, which were abundant in the animal protein group (except miR-3162-5P, 6738-5P, and -6824-5p) were positively correlated to the milk microbial genera Brevibacillus, and Acinetobacter (Proteobacteria phyla), whereas miR-4304 (abundant in the plant-related group) was negatively correlated. On another hand, miR-4419a, -4535, and -6894-5p were positively correlated to the Bacteroides, Rothia, Phascolarctobacterium, Anaerostipes and Phocaeicola genera.",What is the relationship between Human milk miRNAs and Anaerostipes ?,positive
Human milk miRNAs,Phocaeicola ,"For instance, miR-3162-5P, -4271, -4734, -658, -6738-5P, -6824-5p, and -6875-5p, which were abundant in the animal protein group (except miR-3162-5P, 6738-5P, and -6824-5p) were positively correlated to the milk microbial genera Brevibacillus, and Acinetobacter (Proteobacteria phyla), whereas miR-4304 (abundant in the plant-related group) was negatively correlated. On another hand, miR-4419a, -4535, and -6894-5p were positively correlated to the Bacteroides, Rothia, Phascolarctobacterium, Anaerostipes and Phocaeicola genera.",What is the relationship between Human milk miRNAs and Phocaeicola ?,positive
Human milk miRNAs,genera,"The Pearson correlation analyses of milk miRNAs to healthy infant microbiota were conducted. Significant associations were identified between human milk miRNAs and infant microbial genera and growth irrespective of the mother's dietary protein source (Fig. 5). The resulting clustered image map represents the similarity values extracted from the microbiota data to the miRNA dataset, and the displayed variables were selected based on the first two dimensions, and the dendrograms along the top and left edges of the figure were generated using the complete method. Figure 5A and B depicts a clustered image map of the milk miRNAs correlating with specific infant gut microbiota at 15 and 30 days of age, respectively. In total 35 miRNAs were positively associated with the 8 microbial genera at 15 days of age. At the phylum level, 35 milk miRNAs were associated positively to Firmicutes, Actinobacteria and Proteobacteria early in life. Among the genera, Ruminococcus, Serratia, Micrococcus, Finegoldia, and Peptoniphilus have positively associated with the 28 miRNAs, whereas Blautia, Gemmiger, and Fusicatenibacter positively associated with miR-195-bp, miR335-bp, miR16-5p, miR26b-5p and miR-30c-5p. Interestingly, in 30-day old infants, 10 miRNAs (miR-6802-5p, miR-2467-3p, miR-4441, miR-3937, miR-6778-5p, miR-4451, miR-2392, miR-128-1-5p, miR-4269, miR-1238-5p) were positively correlated with 2 microbial genera Veillonella and Flavonifractor.",What is the relationship between Human milk miRNAs and genera?,positive
Human milk miRNAs,Ruminococcus,"The Pearson correlation analyses of milk miRNAs to healthy infant microbiota were conducted. Significant associations were identified between human milk miRNAs and infant microbial genera and growth irrespective of the mother's dietary protein source (Fig. 5). The resulting clustered image map represents the similarity values extracted from the microbiota data to the miRNA dataset, and the displayed variables were selected based on the first two dimensions, and the dendrograms along the top and left edges of the figure were generated using the complete method. Figure 5A and B depicts a clustered image map of the milk miRNAs correlating with specific infant gut microbiota at 15 and 30 days of age, respectively. In total 35 miRNAs were positively associated with the 8 microbial genera at 15 days of age. At the phylum level, 35 milk miRNAs were associated positively to Firmicutes, Actinobacteria and Proteobacteria early in life. Among the genera, Ruminococcus, Serratia, Micrococcus, Finegoldia, and Peptoniphilus have positively associated with the 28 miRNAs, whereas Blautia, Gemmiger, and Fusicatenibacter positively associated with miR-195-bp, miR335-bp, miR16-5p, miR26b-5p and miR-30c-5p. Interestingly, in 30-day old infants, 10 miRNAs (miR-6802-5p, miR-2467-3p, miR-4441, miR-3937, miR-6778-5p, miR-4451, miR-2392, miR-128-1-5p, miR-4269, miR-1238-5p) were positively correlated with 2 microbial genera Veillonella and Flavonifractor.",What is the relationship between Human milk miRNAs and Ruminococcus?,positive
Human milk miRNAs,Serratia,"The Pearson correlation analyses of milk miRNAs to healthy infant microbiota were conducted. Significant associations were identified between human milk miRNAs and infant microbial genera and growth irrespective of the mother's dietary protein source (Fig. 5). The resulting clustered image map represents the similarity values extracted from the microbiota data to the miRNA dataset, and the displayed variables were selected based on the first two dimensions, and the dendrograms along the top and left edges of the figure were generated using the complete method. Figure 5A and B depicts a clustered image map of the milk miRNAs correlating with specific infant gut microbiota at 15 and 30 days of age, respectively. In total 35 miRNAs were positively associated with the 8 microbial genera at 15 days of age. At the phylum level, 35 milk miRNAs were associated positively to Firmicutes, Actinobacteria and Proteobacteria early in life. Among the genera, Ruminococcus, Serratia, Micrococcus, Finegoldia, and Peptoniphilus have positively associated with the 28 miRNAs, whereas Blautia, Gemmiger, and Fusicatenibacter positively associated with miR-195-bp, miR335-bp, miR16-5p, miR26b-5p and miR-30c-5p. Interestingly, in 30-day old infants, 10 miRNAs (miR-6802-5p, miR-2467-3p, miR-4441, miR-3937, miR-6778-5p, miR-4451, miR-2392, miR-128-1-5p, miR-4269, miR-1238-5p) were positively correlated with 2 microbial genera Veillonella and Flavonifractor.",What is the relationship between Human milk miRNAs and Serratia?,positive
Human milk miRNAs,Micrococcus,"The Pearson correlation analyses of milk miRNAs to healthy infant microbiota were conducted. Significant associations were identified between human milk miRNAs and infant microbial genera and growth irrespective of the mother's dietary protein source (Fig. 5). The resulting clustered image map represents the similarity values extracted from the microbiota data to the miRNA dataset, and the displayed variables were selected based on the first two dimensions, and the dendrograms along the top and left edges of the figure were generated using the complete method. Figure 5A and B depicts a clustered image map of the milk miRNAs correlating with specific infant gut microbiota at 15 and 30 days of age, respectively. In total 35 miRNAs were positively associated with the 8 microbial genera at 15 days of age. At the phylum level, 35 milk miRNAs were associated positively to Firmicutes, Actinobacteria and Proteobacteria early in life. Among the genera, Ruminococcus, Serratia, Micrococcus, Finegoldia, and Peptoniphilus have positively associated with the 28 miRNAs, whereas Blautia, Gemmiger, and Fusicatenibacter positively associated with miR-195-bp, miR335-bp, miR16-5p, miR26b-5p and miR-30c-5p. Interestingly, in 30-day old infants, 10 miRNAs (miR-6802-5p, miR-2467-3p, miR-4441, miR-3937, miR-6778-5p, miR-4451, miR-2392, miR-128-1-5p, miR-4269, miR-1238-5p) were positively correlated with 2 microbial genera Veillonella and Flavonifractor.",What is the relationship between Human milk miRNAs and Micrococcus?,positive
Human milk miRNAs,Finegoldia,"The Pearson correlation analyses of milk miRNAs to healthy infant microbiota were conducted. Significant associations were identified between human milk miRNAs and infant microbial genera and growth irrespective of the mother's dietary protein source (Fig. 5). The resulting clustered image map represents the similarity values extracted from the microbiota data to the miRNA dataset, and the displayed variables were selected based on the first two dimensions, and the dendrograms along the top and left edges of the figure were generated using the complete method. Figure 5A and B depicts a clustered image map of the milk miRNAs correlating with specific infant gut microbiota at 15 and 30 days of age, respectively. In total 35 miRNAs were positively associated with the 8 microbial genera at 15 days of age. At the phylum level, 35 milk miRNAs were associated positively to Firmicutes, Actinobacteria and Proteobacteria early in life. Among the genera, Ruminococcus, Serratia, Micrococcus, Finegoldia, and Peptoniphilus have positively associated with the 28 miRNAs, whereas Blautia, Gemmiger, and Fusicatenibacter positively associated with miR-195-bp, miR335-bp, miR16-5p, miR26b-5p and miR-30c-5p. Interestingly, in 30-day old infants, 10 miRNAs (miR-6802-5p, miR-2467-3p, miR-4441, miR-3937, miR-6778-5p, miR-4451, miR-2392, miR-128-1-5p, miR-4269, miR-1238-5p) were positively correlated with 2 microbial genera Veillonella and Flavonifractor.",What is the relationship between Human milk miRNAs and Finegoldia?,positive
Human milk miRNAs,Peptoniphilus ,"The Pearson correlation analyses of milk miRNAs to healthy infant microbiota were conducted. Significant associations were identified between human milk miRNAs and infant microbial genera and growth irrespective of the mother's dietary protein source (Fig. 5). The resulting clustered image map represents the similarity values extracted from the microbiota data to the miRNA dataset, and the displayed variables were selected based on the first two dimensions, and the dendrograms along the top and left edges of the figure were generated using the complete method. Figure 5A and B depicts a clustered image map of the milk miRNAs correlating with specific infant gut microbiota at 15 and 30 days of age, respectively. In total 35 miRNAs were positively associated with the 8 microbial genera at 15 days of age. At the phylum level, 35 milk miRNAs were associated positively to Firmicutes, Actinobacteria and Proteobacteria early in life. Among the genera, Ruminococcus, Serratia, Micrococcus, Finegoldia, and Peptoniphilus have positively associated with the 28 miRNAs, whereas Blautia, Gemmiger, and Fusicatenibacter positively associated with miR-195-bp, miR335-bp, miR16-5p, miR26b-5p and miR-30c-5p. Interestingly, in 30-day old infants, 10 miRNAs (miR-6802-5p, miR-2467-3p, miR-4441, miR-3937, miR-6778-5p, miR-4451, miR-2392, miR-128-1-5p, miR-4269, miR-1238-5p) were positively correlated with 2 microbial genera Veillonella and Flavonifractor.",What is the relationship between Human milk miRNAs and Peptoniphilus ?,positive
